,7_Day_EMAverage,SalesDayPrevYear,is_holiday,is_raining,has_terrace,gps_long,gps_lat,avg_meal_price,is_weekend,month,item_cnt_day
0,0.8937652717847084,3.5174173257902703,0,0,0,-4.890665616465299,-0.681911550805907,6.681769458791094,1,9,23
1,1.7328192038970456,1.2748883717390167,0,0,0,-19.132196787434054,-61.38253807481439,8.427713646959148,0,2,4
2,0.7470514886218342,2.8512598977376116,0,1,0,-26.634278387238282,-24.841976882425755,6.840920441219638,0,5,15
3,1.6230807231424786,2.8695872741286546,0,0,0,-139.2216980469603,-67.29756439687944,8.608297962561728,0,7,80
4,1.0289082334103195,1.9273027222536463,0,0,0,6.590289046052504,71.51086496341586,9.200893634190113,1,1,57
5,1.435077840543499,3.075334904209856,0,0,1,-48.223813780889714,-85.6310426440321,7.12144003231178,0,7,91
6,1.862675065452259,2.6534952532472054,0,0,0,94.39031285607797,-76.03258015480253,8.743131276790894,1,5,67
7,3.38864820474467,2.2195355547288953,0,0,0,-36.79934425372545,-29.36046659762755,7.198554924899626,0,6,5
8,2.7880228458459455,0.8671783761036103,0,1,1,-84.91937847176933,41.27030886274426,7.280494466747598,1,4,46
9,2.8378379621584617,3.6551547155596724,0,0,1,35.132670773471176,-58.76016998636892,8.685021600711234,0,2,57
